[21:07:22] [main/INFO]: ModLauncher running: args [--username, FemboyVastly, --version, forge-47.4.1, --gameDir, C:\Users\HP\curseforge\minecraft\Instances\The Old, --assetsDir, C:\Users\HP\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 6d1d3b13f09c4989bf658500bf7a7f2e, --accessToken, ????????, --clientId, Y2E4MDBkMWYtMjNhYy00YTE4LWI4YjgtMzE1MzYyZGZhMDEy, --xuid, 2535451751998302, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\HP\curseforge\minecraft\Install\quickPlay\java\1749668838449.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.1, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[21:07:22] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 11 arch amd64 version 10.0
[21:07:24] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[21:07:24] [main/INFO]: Trying GL version 4.6
[21:07:26] [main/INFO]: Requested GL version 4.6 got version 4.6
[21:07:26] [pool-2-thread-1/INFO]: GL info: Intel(R) Iris(R) Xe Graphics GL version 4.6.0 - Build 32.0.101.6314, Intel
[21:07:26] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/HP/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[21:07:27] [main/INFO]: Found mod file 000.jar -1.20.1-2.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file accessories-neoforge-1.0.0-beta.46+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file AdvancementPlaques-1.20.1-forge-1.6.9.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file AngryMobs-1.20.1-4.1.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Atlas Lib-1.20.1-1.1.12.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file autohud-8.4+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file BadOptimizations-2.2.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file better_smithing_ui-forge-1.20+2.0.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file BetterAdvancements-Forge-1.20.1-0.4.2.10.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file betterbiomeblend-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file betterchunkloading-1.20.1-5.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file bettercombat-forge-1.8.6+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file BetterF3-7.0.2-Forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file betterfpsdist-1.20.1-6.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file BetterPingDisplay-1.20.1-1.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file BetterQuesting-Forge-1.20.1-4.0.71.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file BetterThanMending-1.7.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file betterweather-1.0.0-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file bloodmagic-1.20.1-3.3.3-45.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file CameraOverhaul-v2.0.4-forge+mc[1.20.0-1.20.5].jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file CerbonsApi-Forge-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file CerbonsBetterBeacons-Forge-1.20.1-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file chloride-FORGE-mc1.20.1-v1.7.2.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file cleanswing-1.20-1.8.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file clickadv-1.20.1-3.8.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file clientcrafting-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file ColdSweat-2.3.13.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
[21:07:27] [main/INFO]: Found mod file collective-1.20.1-8.3.jar of type MOD with provider {mods folder locator at C:\Users\HP\curseforge\minecraft\Instances\The Old\mods}
